twitter_username,name,followers_count,user_tweet_count,created_at,id,query_tweet_count
ActuallyNPH,Neil Patrick Harris,25754422,3189,2009-11-16T15:54:48.000Z,90420314,16872
danieltosh,daniel tosh,24405952,21,2009-03-20T15:32:52.000Z,25521487,3284
davidguetta,David Guetta,20299436,6128,2009-03-12T16:19:49.000Z,23976386,47117
ConanOBrien,Conan O'Brien,28477842,4926,2010-02-18T20:17:16.000Z,115485051,158157
SrBachchan,Amitabh Bachchan,46360890,68144,2010-05-18T05:16:47.000Z,145125358,762727
aplusk,ashton kutcher,17216662,10557,2009-01-16T07:40:06.000Z,19058681,24235
khloekardashian,Khloé,29513841,66562,2009-04-18T18:01:25.000Z,32959253,109416
kourtneykardash,Kourtney Kardashian,26142722,14094,2009-03-10T17:12:52.000Z,23617610,24044
zaynmalik,zayn,31003347,3687,2010-08-09T21:54:10.000Z,176566242,3907417
iamsrk,Shah Rukh Khan,42155988,58241,2010-01-02T20:55:43.000Z,101311381,984815
coldplay,Coldplay,23452584,8837,2009-01-11T11:04:45.000Z,18863815,661285
MariahCarey,Mariah Carey,21614007,10283,2009-01-20T18:08:51.000Z,19248106,444064
edsheeran,Ed Sheeran,17693334,22782,2009-10-26T23:57:28.000Z,85452649,159039
xtina,Christina Aguilera,16689277,2738,2011-03-18T19:41:39.000Z,268439864,112390
JimCarrey,Jim Carrey,18650210,4675,2009-06-30T22:58:44.000Z,52551600,137197
kanyewest,ye,30605061,1911,2010-07-22T23:00:05.000Z,169686021,343536
chrisbrown,Chris Brown,32185788,4612,2010-03-03T21:39:14.000Z,119509520,131961
BeingSalmanKhan,Salman Khan,43043216,43028,2010-04-13T02:56:21.000Z,132385468,5416612
agnezmo,AGNEZ MO,17862835,15644,2009-05-25T15:05:00.000Z,42420346,177799
Beyonce,BEYONCÉ,15502947,19,2009-04-14T21:56:04.000Z,31239408,539141
blakeshelton,Blake Shelton,19894010,12619,2008-05-27T13:43:08.000Z,14920785,180806
RyanSeacrest,Ryan Seacrest,15060041,18031,2008-09-08T19:55:09.000Z,16190898,53588
